layer 16
    conv filter 1
      unnormalized sims:
        top 0 is 15='.' with sim 0.8194354772567749
        top 1 is 35503=' Rosa' with sim 0.7770698070526123
        top 2 is 42518=' Rica' with sim 0.6688761711120605
        top 3 is 20428=' Kate' with sim 0.608467161655426
        top 4 is 8652=' Lee' with sim 0.5762705206871033
        top 5 is 13=',' with sim 0.5568321347236633
        top 6 is 34221=' Elli' with sim 0.5493024587631226
        top 7 is 281=' to' with sim 0.471358060836792
        top 8 is 29026=' Alberta' with sim 0.4088497459888458
        top 9 is 8939=' Pet' with sim 0.3972765803337097
        top 10 is 49368=' Audi' with sim 0.32175660133361816
        top 11 is 253=' the' with sim 0.3124186396598816
        top 12 is 3906=' office' with sim 0.27224650979042053
        top 13 is 9385=' Virginia' with sim 0.2510335147380829
        top 14 is 33515=' Perl' with sim 0.24752891063690186
        top 15 is 32867=' Else' with sim 0.22100725769996643
        top 16 is 45655=' Tina' with sim 0.20710930228233337
        top 17 is 10049=' Van' with sim 0.19637134671211243
        top 18 is 28962=' Raf' with sim 0.19583101570606232
        top 19 is 12447=' Rose' with sim 0.19288602471351624
        top 20 is 33099=' Valentine' with sim 0.1830182820558548
        top 21 is 30680=' Meta' with sim 0.17247220873832703
        top 22 is 4382=' computer' with sim 0.1702541708946228
        top 23 is 27477=' Easter' with sim 0.15356282889842987
        top 24 is 29169=' Pearl' with sim 0.15135572850704193
        top 25 is 47040=' Lucia' with sim 0.1411563754081726
        top 26 is 31717=' Alexa' with sim 0.1334971934556961
        top 27 is 43898=' Dion' with sim 0.12507309019565582
        top 28 is 33534=' Bea' with sim 0.12480814754962921
        top 29 is 28642=' Ana' with sim 0.10067005455493927
        top 30 is 285=' and' with sim 0.08172374963760376
        top 31 is 42319=' Clare' with sim 0.073955237865448
        top 32 is 36669=' Dana' with sim 0.07240420579910278
        top 33 is 27955=' Faith' with sim 0.04592046141624451
        top 34 is 36977=' Glad' with sim 0.04384010285139084
        top 35 is 39437=' Daisy' with sim 0.04280985891819
        top 36 is 39319=' Ara' with sim 0.028060823678970337
        top 37 is 15784=' Row' with sim 0.013518907129764557
        top 38 is 247=' a' with sim -0.0016408860683441162
        top 39 is 35175=' Shannon' with sim -0.005769446492195129
        top 40 is 42006=' Paula' with sim -0.006009943783283234
        top 41 is 42413=' Tess' with sim -0.012981593608856201
        top 42 is 50227=' Cary' with sim -0.028859242796897888
        top 43 is 12096=' Georgia' with sim -0.03419983386993408
        top 44 is 21960=' Laura' with sim -0.03608003258705139
        top 45 is 45503=' Bella' with sim -0.036080241203308105
        top 46 is 47385=' Elaine' with sim -0.049733102321624756
        top 47 is 25498=' Gay' with sim -0.05194948613643646
        top 48 is 1523='ately' with sim -0.07681199908256531
        top 49 is 34134=' Liv' with sim -0.08665040135383606
        top 50 is 8969=' Tim' with sim -0.09062746167182922
        top 51 is 43783=' Philippine' with sim -0.09311078488826752
        top 52 is 29580=' Bernie' with sim -0.09517768025398254
        top 53 is 46326=' Juliet' with sim -0.09728660434484482
        top 54 is 23961=' Kay' with sim -0.10226009786128998
