layer 40
    conv filter 1
      unnormalized sims:
        top 0 is 0='<|endoftext|>' with sim 3.4685959815979004
        top 1 is 13=',' with sim 2.641841411590576
        top 2 is 285=' and' with sim 2.308878183364868
        top 3 is 31596=' Belle' with sim 2.2322170734405518
        top 4 is 15='.' with sim 1.8058114051818848
        top 5 is 45='L' with sim 1.6641552448272705
        top 6 is 12096=' Georgia' with sim 1.6319676637649536
        top 7 is 387=' at' with sim 1.3830561637878418
        top 8 is 3689=' Min' with sim 1.2983242273330688
        top 9 is 10049=' Van' with sim 1.1909143924713135
        top 10 is 18267=' Atlanta' with sim 1.1671335697174072
        top 11 is 247=' a' with sim 1.0880613327026367
        top 12 is 3906=' office' with sim 1.0410884618759155
        top 13 is 253=' the' with sim 0.9731618165969849
        top 14 is 16700=' Dallas' with sim 0.9618554711341858
        top 15 is 7903=' Max' with sim 0.9074691534042358
        top 16 is 22707=' Lisa' with sim 0.8494921922683716
        top 17 is 281=' to' with sim 0.840535581111908
        top 18 is 2263=' Cal' with sim 0.830791711807251
        top 19 is 7758=' Florida' with sim 0.8223549127578735
        top 20 is 5961=' bone' with sim 0.8053745031356812
        top 21 is 21521=' Ruby' with sim 0.8040477633476257
        top 22 is 2552=' May' with sim 0.8000003099441528
        top 23 is 39437=' Daisy' with sim 0.7873549461364746
        top 24 is 4657=' store' with sim 0.7826539874076843
        top 25 is 20344=' Fern' with sim 0.7778050899505615
        top 26 is 36220=' Eden' with sim 0.7681365609169006
        top 27 is 28642=' Ana' with sim 0.7100855112075806
        top 28 is 13268=' Jordan' with sim 0.6838486790657043
        top 29 is 37083=' Heather' with sim 0.6642297506332397
        top 30 is 8141=' Star' with sim 0.660085916519165
        top 31 is 2419=' house' with sim 0.6364774703979492
        top 32 is 10703=' Page' with sim 0.6351758241653442
        top 33 is 574=' had' with sim 0.6263116598129272
        top 34 is 5769=' Sam' with sim 0.6069054007530212
        top 35 is 8969=' Tim' with sim 0.5563980340957642
        top 36 is 47998=' Sunny' with sim 0.536069929599762
        top 37 is 4382=' computer' with sim 0.5318280458450317
        top 38 is 5818=' ring' with sim 0.5286656618118286
        top 39 is 10329=' garden' with sim 0.5082625150680542
        top 40 is 27575=' Happy' with sim 0.5052942037582397
        top 41 is 34327=' Maggie' with sim 0.4830513000488281
        top 42 is 24707=' Bobby' with sim 0.46976450085639954
        top 43 is 4162=' April' with sim 0.4690897762775421
        top 44 is 10301=' restaurant' with sim 0.4489385485649109
        top 45 is 6416=' Christian' with sim 0.4447926878929138
        top 46 is 9756=' Carolina' with sim 0.4385155141353607
        top 47 is 42518=' Rica' with sim 0.42395076155662537
        top 48 is 25005=' Storm' with sim 0.42363351583480835
        top 49 is 36532=' Randy' with sim 0.4190823435783386
        top 50 is 8652=' Lee' with sim 0.4119957983493805
        top 51 is 40794=' Joey' with sim 0.4013853967189789
        top 52 is 28585=' Blair' with sim 0.3849618136882782
        top 53 is 45655=' Tina' with sim 0.3650782108306885
        top 54 is 9385=' Virginia' with sim 0.3643861413002014
        top 55 is 19669=' Billy' with sim 0.35974788665771484
        top 56 is 20882=' Danny' with sim 0.3500979244709015
        top 57 is 29051=' Quinn' with sim 0.34286290407180786
        top 58 is 21122=' Jerry' with sim 0.3329106867313385
        top 59 is 28518=' Hannah' with sim 0.3235512971878052
        top 60 is 30680=' Meta' with sim 0.31488344073295593
        top 61 is 12447=' Rose' with sim 0.3072238564491272
        top 62 is 3978=' June' with sim 0.30237245559692383
        top 63 is 10648=' Sher' with sim 0.30219998955726624
        top 64 is 45023=' Lucky' with sim 0.29696929454803467
        top 65 is 31479=' Liz' with sim 0.2715587615966797
        top 66 is 25063=' Bren' with sim 0.2660542130470276
        top 67 is 32577=' Sally' with sim 0.26475411653518677
        top 68 is 23442=' Helen' with sim 0.25096991658210754
        top 69 is 45931=' Vera' with sim 0.2488686442375183
        top 70 is 21804=' Bert' with sim 0.22633641958236694
        top 71 is 25062=' Karen' with sim 0.22353556752204895
        top 72 is 33245=' Cele' with sim 0.2192070335149765
        top 73 is 34876=' Sue' with sim 0.20732241868972778
        top 74 is 5484=' drink' with sim 0.18933245539665222
        top 75 is 43783=' Philippine' with sim 0.1553007811307907
        top 76 is 46604=' Erin' with sim 0.14935681223869324
        top 77 is 36097=' Jenny' with sim 0.14894792437553406
        top 78 is 47442=' Gert' with sim 0.14787934720516205
        top 79 is 44256=' necklace' with sim 0.14023983478546143
        top 80 is 16916=' Austin' with sim 0.14010578393936157
        top 81 is 20145=' Margaret' with sim 0.1300244778394699
        top 82 is 45503=' Bella' with sim 0.12772712111473083
        top 83 is 25579=' Chelsea' with sim 0.11839952319860458
        top 84 is 2143=' school' with sim 0.11402496695518494
        top 85 is 37101=' Honey' with sim 0.11141324043273926
        top 86 is 40771=' Shane' with sim 0.10877002775669098
        top 87 is 37930=' Nicole' with sim 0.10435789823532104
        top 88 is 33811=' Amanda' with sim 0.10061472654342651
        top 89 is 21438=' Charlotte' with sim 0.08317764103412628
        top 90 is 32962=' Dawn' with sim 0.07750441133975983
        top 91 is 3534=' gave' with sim 0.07677797973155975
        top 92 is 28331=' Michelle' with sim 0.074103444814682
        top 93 is 32817=' Lily' with sim 0.0726858377456665
        top 94 is 42486=' Tate' with sim 0.06998243927955627
        top 95 is 31959=' Rebecca' with sim 0.06870850920677185
        top 96 is 16286=' Morgan' with sim 0.06610266864299774
        top 97 is 31472=' Jesse' with sim 0.06431759893894196
        top 98 is 33099=' Valentine' with sim 0.058518826961517334
        top 99 is 47572=' Dix' with sim 0.039745599031448364
        top 100 is 33686=' Betty' with sim 0.03596264123916626
        top 101 is 21130=' Andy' with sim 0.023542746901512146
        top 102 is 25856=' Kyle' with sim 0.014258474111557007
        top 103 is 27145=' Tommy' with sim 0.006914734840393066
        top 104 is 48545=' Cody' with sim 0.0045726001262664795
        top 105 is 38181=' Dot' with sim 0.0029766708612442017
        top 106 is 29509=' Crystal' with sim 0.0007503628730773926
        top 107 is 40793=' Mae' with sim -0.01048627495765686
        top 108 is 3419=' Ag' with sim -0.011557132005691528
        top 109 is 49567=' Peggy' with sim -0.01409219205379486
        top 110 is 31802=' Viv' with sim -0.015247583389282227
        top 111 is 9271=' Lib' with sim -0.018818512558937073
        top 112 is 25080=' Bird' with sim -0.02235386148095131
        top 113 is 42778=' Penny' with sim -0.02328026294708252
        top 114 is 40136=' Cassie' with sim -0.024675071239471436
        top 115 is 16922=' Alice' with sim -0.02489534020423889
        top 116 is 29531=' Fan' with sim -0.028094634413719177
        top 117 is 4675=' hospital' with sim -0.041938066482543945
        top 118 is 48576=' Marty' with sim -0.04409705847501755
        top 119 is 15458=' Sarah' with sim -0.046808063983917236
        top 120 is 42408=' Beverly' with sim -0.04926788806915283
        top 121 is 24112=' Lucy' with sim -0.0691647082567215
        top 122 is 41186=' Eva' with sim -0.08997103571891785
        top 123 is 29804=' Angela' with sim -0.09201449155807495
        top 124 is 37921=' Molly' with sim -0.09211458265781403
        top 125 is 10766=' Kim' with sim -0.10186363011598587
        top 126 is 10497=' Asia' with sim -0.10259244590997696
        top 127 is 7948=' Tuesday' with sim -0.10993434488773346
        top 128 is 25635=' Ruth' with sim -0.11558875441551208
        top 129 is 46599=' Chrysler' with sim -0.11766284704208374
        top 130 is 22739=' Rachel' with sim -0.12743988633155823
        top 131 is 21872=' Perry' with sim -0.12896135449409485
        top 132 is 28710=' Dale' with sim -0.13303184509277344
        top 133 is 48930=' Clem' with sim -0.13779103755950928
        top 134 is 36253=' Jill' with sim -0.13885000348091125
        top 135 is 794=' fun' with sim -0.14617232978343964
        top 136 is 26355=' Jennifer' with sim -0.1501154899597168
        top 137 is 27477=' Easter' with sim -0.15732905268669128
        top 138 is 21960=' Laura' with sim -0.15770503878593445
        top 139 is 22463=' Robin' with sim -0.15856868028640747
        top 140 is 25975=' Emma' with sim -0.1636711061000824
        top 141 is 6086=' George' with sim -0.16878125071525574
        top 142 is 23425=' Catherine' with sim -0.17553138732910156
        top 143 is 47896=' Cecil' with sim -0.1778486967086792
        top 144 is 48718=' Nell' with sim -0.18737682700157166
        top 145 is 15541=' Hope' with sim -0.18869471549987793
        top 146 is 47627=' Deborah' with sim -0.1892842948436737
        top 147 is 41903=' Kai' with sim -0.19217449426651
        top 148 is 37204=' Kris' with sim -0.20270653069019318
        top 149 is 14861=' Tony' with sim -0.20664381980895996
        top 150 is 40103=' Dorothy' with sim -0.2199883610010147
        top 151 is 6939=' Mil' with sim -0.22954413294792175
        top 152 is 19051=' Lane' with sim -0.23435306549072266
        top 153 is 31069=' Bee' with sim -0.2361677885055542
        top 154 is 48511=' Theo' with sim -0.23913678526878357
        top 155 is 27982=' Gates' with sim -0.24980077147483826
        top 156 is 36965=' Diane' with sim -0.2536724805831909
        top 157 is 6588=' Kore' with sim -0.255522757768631
        top 158 is 29778=' Joan' with sim -0.2570803165435791
        top 159 is 27261=' Julia' with sim -0.25785261392593384
        top 160 is 27955=' Faith' with sim -0.2584405541419983
        top 161 is 33357=' Adrian' with sim -0.2661293148994446
        top 162 is 41120=' Esther' with sim -0.2677389979362488
        top 163 is 16543=' Anna' with sim -0.2767906188964844
        top 164 is 49557=' Ricky' with sim -0.2777446508407593
        top 165 is 38994=' Melissa' with sim -0.27899691462516785
        top 166 is 46389=' Judith' with sim -0.28481942415237427
        top 167 is 38502=' Marion' with sim -0.2948092222213745
        top 168 is 35436=' Donna' with sim -0.3008655309677124
        top 169 is 45014=' Chloe' with sim -0.30312034487724304
        top 170 is 36779=' Sharon' with sim -0.308300256729126
        top 171 is 39206=' Patricia' with sim -0.3092592656612396
        top 172 is 40864=' Nike' with sim -0.30988365411758423
        top 173 is 38150=' Stephanie' with sim -0.31343430280685425
        top 174 is 42006=' Paula' with sim -0.3145805597305298
        top 175 is 27581=' Gabriel' with sim -0.3149435520172119
        top 176 is 31316=' Ellen' with sim -0.32179176807403564
        top 177 is 27283=' Jamie' with sim -0.3224242329597473
        top 178 is 40104=' Connie' with sim -0.3256773352622986
        top 179 is 41654=' Rosie' with sim -0.3266357183456421
        top 180 is 34884=' Chad' with sim -0.3282040059566498
        top 181 is 28083=' Linda' with sim -0.3309265971183777
        top 182 is 33240=' Diana' with sim -0.34983891248703003
        top 183 is 46326=' Juliet' with sim -0.35142046213150024
        top 184 is 10734=' Ray' with sim -0.35605770349502563
        top 185 is 38916=' Willie' with sim -0.36801567673683167
