layer 47
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 1.4592626094818115
        top 114 is 28962=' Raf' with sim -0.13204425573349
        top 115 is 41131=' Amber' with sim -0.13249045610427856
        top 116 is 36097=' Jenny' with sim -0.13434144854545593
        top 117 is 31316=' Ellen' with sim -0.13533030450344086
        top 118 is 29804=' Angela' with sim -0.13782000541687012
        top 119 is 23442=' Helen' with sim -0.13848397135734558
        top 120 is 21960=' Laura' with sim -0.14167505502700806
        top 121 is 19051=' Lane' with sim -0.14171810448169708
        top 122 is 21638=' Terry' with sim -0.1442435085773468
        top 123 is 32577=' Sally' with sim -0.14487393200397491
        top 124 is 40152=' Tracy' with sim -0.1488204002380371
        top 125 is 37921=' Molly' with sim -0.14967335760593414
        top 126 is 25498=' Gay' with sim -0.1499510407447815
        top 127 is 28707=' Shell' with sim -0.15180468559265137
        top 128 is 16225=' Victoria' with sim -0.15347373485565186
        top 129 is 37073=' Katie' with sim -0.15630963444709778
        top 130 is 39888=' Aurora' with sim -0.15656778216362
        top 131 is 36210=' Venus' with sim -0.15736620128154755
        top 132 is 13209=' Bab' with sim -0.15851454436779022
        top 133 is 24112=' Lucy' with sim -0.15894073247909546
        top 134 is 26525=' Ada' with sim -0.16019997000694275
        top 135 is 29778=' Joan' with sim -0.16332846879959106
        top 136 is 22463=' Robin' with sim -0.1661866307258606
        top 137 is 47385=' Elaine' with sim -0.16694340109825134
        top 138 is 27982=' Gates' with sim -0.16799241304397583
        top 139 is 16286=' Morgan' with sim -0.16857171058654785
        top 140 is 27145=' Tommy' with sim -0.16963732242584229
        top 141 is 33747=' Ashley' with sim -0.17116953432559967
        top 142 is 30680=' Meta' with sim -0.17251992225646973
        top 143 is 45023=' Lucky' with sim -0.17537876963615417
        top 144 is 26355=' Jennifer' with sim -0.17620237171649933
        top 145 is 38048=' Judy' with sim -0.177432119846344
        top 146 is 35028=' Louise' with sim -0.17794862389564514
        top 147 is 33099=' Valentine' with sim -0.18401725590229034
        top 148 is 27522=' Frances' with sim -0.18403640389442444
        top 149 is 33821=' Lauren' with sim -0.18542808294296265
        top 150 is 23397=' Nancy' with sim -0.18843045830726624
        top 151 is 43783=' Philippine' with sim -0.19285523891448975
        top 152 is 27477=' Easter' with sim -0.1952459216117859
        top 153 is 15541=' Hope' with sim -0.19664780795574188
        top 154 is 27575=' Happy' with sim -0.1969345510005951
        top 155 is 21872=' Perry' with sim -0.19859515130519867
        top 156 is 27955=' Faith' with sim -0.19878466427326202
        top 157 is 35262=' Sophie' with sim -0.1990875005722046
        top 158 is 33534=' Bea' with sim -0.20033589005470276
        top 159 is 19669=' Billy' with sim -0.2008214294910431
        top 160 is 38150=' Stephanie' with sim -0.20671364665031433
        top 161 is 30014=' Berry' with sim -0.20889584720134735
        top 162 is 36606=' Joyce' with sim -0.21074971556663513
        top 163 is 27504=' Sandy' with sim -0.21211883425712585
        top 164 is 31596=' Belle' with sim -0.2123507857322693
        top 165 is 29509=' Crystal' with sim -0.21236497163772583
        top 166 is 38005=' Marian' with sim -0.21251219511032104
        top 167 is 42319=' Clare' with sim -0.215053528547287
        top 168 is 32962=' Dawn' with sim -0.21800893545150757
        top 169 is 39319=' Ara' with sim -0.21857085824012756
        top 170 is 45655=' Tina' with sim -0.21906444430351257
        top 171 is 29580=' Bernie' with sim -0.2192477434873581
        top 172 is 35944=' Andrea' with sim -0.21956396102905273
        top 173 is 19917=' Barbara' with sim -0.2195931077003479
        top 174 is 15784=' Row' with sim -0.2204727679491043
        top 175 is 39206=' Patricia' with sim -0.22131472826004028
        top 176 is 45867=' Megan' with sim -0.22312641143798828
        top 177 is 27581=' Gabriel' with sim -0.22657878696918488
        top 178 is 45711=' Kathleen' with sim -0.22846083343029022
        top 179 is 31479=' Liz' with sim -0.2290462851524353
        top 180 is 33515=' Perl' with sim -0.22914668917655945
        top 181 is 41186=' Eva' with sim -0.2303466796875
        top 182 is 35685=' Janet' with sim -0.23039069771766663
        top 183 is 17363=' Eve' with sim -0.2323673665523529
        top 184 is 46147=' Kathy' with sim -0.23348936438560486
        top 185 is 31338=' Annie' with sim -0.234877809882164
        top 186 is 44846=' Elena' with sim -0.2349541187286377
        top 187 is 37930=' Nicole' with sim -0.23678015172481537
        top 188 is 28518=' Hannah' with sim -0.23692262172698975
        top 189 is 34365=' Doe' with sim -0.23727473616600037
        top 190 is 36938=' Dell' with sim -0.23746544122695923
        top 191 is 20047=' Vin' with sim -0.23924700915813446
        top 192 is 41120=' Esther' with sim -0.2398199588060379
        top 193 is 36604=' Brett' with sim -0.2399817705154419
        top 194 is 43947=' Kitty' with sim -0.24092572927474976
        top 195 is 48801=' Nina' with sim -0.2417525351047516
        top 196 is 22825=' Barry' with sim -0.24532563984394073
        top 197 is 40771=' Shane' with sim -0.24552300572395325
        top 198 is 34655=' Caroline' with sim -0.24560287594795227
        top 199 is 46604=' Erin' with sim -0.2477584034204483
      cosine sims:
        top 0 is 247=' a' with sim 0.1118224635720253
        top 1 is 387=' at' with sim 0.10922795534133911
        top 2 is 285=' and' with sim 0.1077968180179596
        top 3 is 4382=' computer' with sim 0.10671605169773102
        top 4 is 253=' the' with sim 0.10462702065706253
        top 5 is 13=',' with sim 0.10083878040313721
        top 6 is 281=' to' with sim 0.09986190497875214
        top 7 is 3419=' Ag' with sim 0.09969272464513779
        top 8 is 15='.' with sim 0.0938173308968544
        top 9 is 574=' had' with sim 0.09255272895097733
        top 10 is 2263=' Cal' with sim 0.08974294364452362
        top 11 is 3534=' gave' with sim 0.0839853435754776
        top 12 is 45='L' with sim 0.08373437076807022
        top 13 is 2419=' house' with sim 0.08188053220510483
        top 14 is 5769=' Sam' with sim 0.07912412285804749
        top 15 is 7903=' Max' with sim 0.07472587376832962
        top 16 is 7758=' Florida' with sim 0.07269361615180969
        top 17 is 10049=' Van' with sim 0.0694776177406311
        top 18 is 8652=' Lee' with sim 0.06842175126075745
        top 19 is 0='<|endoftext|>' with sim 0.062380600720644
        top 20 is 5484=' drink' with sim 0.061646975576877594
        top 21 is 2552=' May' with sim 0.06151089817285538
        top 22 is 794=' fun' with sim 0.06138335168361664
        top 23 is 4162=' April' with sim 0.0605524443089962
        top 24 is 12096=' Georgia' with sim 0.054618388414382935
        top 25 is 2143=' school' with sim 0.049461279064416885
        top 26 is 8969=' Tim' with sim 0.04863288998603821
        top 27 is 13089=' Jean' with sim 0.04819635674357414
        top 28 is 3978=' June' with sim 0.04454285651445389
        top 29 is 10766=' Kim' with sim 0.04053925350308418
        top 30 is 6393=' Mary' with sim 0.039881594479084015
        top 31 is 12447=' Rose' with sim 0.039434172213077545
        top 32 is 10734=' Ray' with sim 0.03863752260804176
        top 33 is 3689=' Min' with sim 0.037250325083732605
        top 34 is 9385=' Virginia' with sim 0.03670632839202881
        top 35 is 13268=' Jordan' with sim 0.03437547758221626
        top 36 is 6039=' Cam' with sim 0.03392205014824867
        top 37 is 6939=' Mil' with sim 0.033902399241924286
        top 38 is 8939=' Pet' with sim 0.030801553279161453
        top 39 is 4675=' hospital' with sim 0.026838410645723343
        top 40 is 29026=' Alberta' with sim 0.026575183495879173
        top 41 is 4660=' station' with sim 0.026323610916733742
        top 42 is 10301=' restaurant' with sim 0.025962188839912415
        top 43 is 5961=' bone' with sim 0.02448931522667408
        top 44 is 22739=' Rachel' with sim 0.023881390690803528
        top 45 is 6893=' Frank' with sim 0.023749131709337234
        top 46 is 16916=' Austin' with sim 0.023561011999845505
        top 47 is 7948=' Tuesday' with sim 0.021150538697838783
        top 48 is 4657=' store' with sim 0.014787845313549042
        top 49 is 21521=' Ruby' with sim 0.01458546333014965
        top 50 is 18267=' Atlanta' with sim 0.013887345790863037
        top 51 is 5818=' ring' with sim 0.01298177894204855
        top 52 is 16543=' Anna' with sim 0.009179199114441872
        top 53 is 18966=' Grace' with sim 0.008890831843018532
        top 54 is 6086=' George' with sim 0.008613647893071175
        top 55 is 3906=' office' with sim 0.007211396470665932
        top 56 is 10329=' garden' with sim 0.006639677099883556
        top 57 is 16700=' Dallas' with sim 0.005926493555307388
        top 58 is 8141=' Star' with sim 0.003151701297610998
        top 59 is 15458=' Sarah' with sim 0.002779879607260227
        top 60 is 21122=' Jerry' with sim 0.0024359747767448425
        top 61 is 38181=' Dot' with sim 0.0007957741618156433
        top 62 is 31472=' Jesse' with sim -0.0023240745067596436
        top 63 is 20882=' Danny' with sim -0.0026888083666563034
        top 64 is 22138=' Amy' with sim -0.004480117931962013
        top 65 is 20428=' Kate' with sim -0.005608070641756058
        top 66 is 25856=' Kyle' with sim -0.00711243599653244
        top 67 is 17361=' Sydney' with sim -0.008381128311157227
        top 68 is 10497=' Asia' with sim -0.008613886311650276
        top 69 is 34884=' Chad' with sim -0.008892957121133804
        top 70 is 21130=' Andy' with sim -0.010128913447260857
        top 71 is 33811=' Amanda' with sim -0.010487418621778488
        top 72 is 29169=' Pearl' with sim -0.010541669093072414
        top 73 is 14861=' Tony' with sim -0.010924768634140491
        top 74 is 27238=' Eddie' with sim -0.011412089690566063
        top 75 is 9271=' Lib' with sim -0.011806908063590527
        top 76 is 34134=' Liv' with sim -0.012212556786835194
        top 77 is 14943=' Kelly' with sim -0.013288591057062149
        top 78 is 12694=' Elizabeth' with sim -0.013563400134444237
        top 79 is 21088=' Marie' with sim -0.013923322781920433
        top 80 is 17467=' Anne' with sim -0.01581481099128723
        top 81 is 20145=' Margaret' with sim -0.016468029469251633
        top 82 is 36669=' Dana' with sim -0.01709815114736557
        top 83 is 22723=' Sean' with sim -0.01728629879653454
        top 84 is 10135=' kiss' with sim -0.017999783158302307
        top 85 is 29531=' Fan' with sim -0.01804163306951523
        top 86 is 25062=' Karen' with sim -0.018558219075202942
        top 87 is 10703=' Page' with sim -0.01900506019592285
        top 88 is 25975=' Emma' with sim -0.01978330686688423
        top 89 is 23801=' Honor' with sim -0.020373031497001648
        top 90 is 31959=' Rebecca' with sim -0.02056036703288555
        top 91 is 40794=' Joey' with sim -0.02058141678571701
        top 92 is 23961=' Kay' with sim -0.021558433771133423
        top 93 is 36253=' Jill' with sim -0.021811453625559807
        top 94 is 28331=' Michelle' with sim -0.021927999332547188
        top 95 is 31231=' Claire' with sim -0.022227007895708084
        top 96 is 6416=' Christian' with sim -0.022678690031170845
        top 97 is 48038=' Cory' with sim -0.022906050086021423
        top 98 is 25635=' Ruth' with sim -0.02444133348762989
        top 99 is 16922=' Alice' with sim -0.02519545517861843
        top 100 is 28710=' Dale' with sim -0.025613296777009964
        top 101 is 36965=' Diane' with sim -0.026025202125310898
        top 102 is 28962=' Raf' with sim -0.026353614404797554
        top 103 is 36220=' Eden' with sim -0.027244051918387413
        top 104 is 36532=' Randy' with sim -0.02783951722085476
