layer 45
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 0.4566534757614136
        top 1 is 15='.' with sim 0.3336334526538849
        top 2 is 47756=' Dru' with sim 0.33193719387054443
        top 3 is 46599=' Chrysler' with sim 0.31924158334732056
        top 4 is 25063=' Bren' with sim 0.28809869289398193
        top 5 is 285=' and' with sim 0.28671795129776
        top 6 is 35028=' Louise' with sim 0.24826517701148987
        top 7 is 39319=' Ara' with sim 0.24430519342422485
        top 8 is 29026=' Alberta' with sim 0.242681086063385
        top 9 is 16700=' Dallas' with sim 0.2405868023633957
        top 10 is 20145=' Margaret' with sim 0.24027934670448303
        top 11 is 31316=' Ellen' with sim 0.23525308072566986
        top 12 is 23801=' Honor' with sim 0.23181495070457458
        top 13 is 36210=' Venus' with sim 0.2234649956226349
        top 14 is 45981=' Teddy' with sim 0.21891003847122192
        top 15 is 387=' at' with sim 0.21773800253868103
        top 16 is 49557=' Ricky' with sim 0.2151506096124649
        top 17 is 34365=' Doe' with sim 0.2080875188112259
        top 18 is 41120=' Esther' with sim 0.20626941323280334
        top 19 is 31955=' Geneva' with sim 0.20412884652614594
        top 20 is 25498=' Gay' with sim 0.2002210170030594
        top 21 is 46972=' Gloria' with sim 0.1967010796070099
        top 22 is 49368=' Audi' with sim 0.19593703746795654
        top 23 is 30958=' Rena' with sim 0.19276869297027588
        top 24 is 29778=' Joan' with sim 0.18969309329986572
        top 25 is 33503=' snack' with sim 0.1871841847896576
        top 26 is 47442=' Gert' with sim 0.1870611310005188
        top 27 is 44846=' Elena' with sim 0.18469443917274475
        top 28 is 31417=' Clara' with sim 0.18464241921901703
        top 29 is 16916=' Austin' with sim 0.1798020601272583
        top 30 is 34134=' Liv' with sim 0.17869645357131958
        top 31 is 28962=' Raf' with sim 0.17518985271453857
        top 32 is 19051=' Lane' with sim 0.17151281237602234
        top 33 is 45655=' Tina' with sim 0.16259439289569855
        top 34 is 26525=' Ada' with sim 0.16209694743156433
        top 35 is 17467=' Anne' with sim 0.16184110939502716
        top 36 is 46425=' Philippe' with sim 0.16052255034446716
        top 37 is 49529=' Dre' with sim 0.15480241179466248
        top 38 is 10301=' restaurant' with sim 0.15419946610927582
        top 39 is 36977=' Glad' with sim 0.15334853529930115
        top 40 is 47433=' Dee' with sim 0.15170636773109436
        top 41 is 27522=' Frances' with sim 0.15169404447078705
        top 42 is 22463=' Robin' with sim 0.15162092447280884
        top 43 is 8831=' Ira' with sim 0.1497790664434433
        top 44 is 29804=' Angela' with sim 0.14669008553028107
        top 45 is 19669=' Billy' with sim 0.14621013402938843
        top 46 is 36220=' Eden' with sim 0.1459442526102066
        top 47 is 13209=' Bab' with sim 0.13834771513938904
        top 48 is 41654=' Rosie' with sim 0.13698023557662964
        top 49 is 33240=' Diana' with sim 0.136839359998703
        top 50 is 253=' the' with sim 0.13674910366535187
        top 51 is 35503=' Rosa' with sim 0.13415327668190002
        top 52 is 47613=' Irene' with sim 0.1331498920917511
        top 53 is 4162=' April' with sim 0.13258448243141174
        top 54 is 43785=' Sandra' with sim 0.13255468010902405
        top 55 is 32577=' Sally' with sim 0.13250359892845154
        top 56 is 41131=' Amber' with sim 0.13208849728107452
        top 57 is 2552=' May' with sim 0.1320011466741562
        top 58 is 38048=' Judy' with sim 0.13110843300819397
        top 59 is 40771=' Shane' with sim 0.131002277135849
        top 60 is 23425=' Catherine' with sim 0.12826856970787048
        top 61 is 7758=' Florida' with sim 0.12805357575416565
        top 62 is 14648=' basketball' with sim 0.12560446560382843
        top 63 is 794=' fun' with sim 0.12560132145881653
        top 64 is 41903=' Kai' with sim 0.1249609887599945
        top 65 is 6416=' Christian' with sim 0.12430381774902344
        top 66 is 31596=' Belle' with sim 0.12430119514465332
        top 67 is 14791=' Pier' with sim 0.12230120599269867
        top 68 is 31479=' Liz' with sim 0.12150020152330399
        top 69 is 36604=' Brett' with sim 0.12020497024059296
        top 70 is 36606=' Joyce' with sim 0.12010706216096878
        top 71 is 24707=' Bobby' with sim 0.12004409730434418
        top 72 is 30680=' Meta' with sim 0.11372488737106323
        top 73 is 23961=' Kay' with sim 0.11147820204496384
        top 74 is 45664=' Allison' with sim 0.1111411601305008
        top 75 is 37204=' Kris' with sim 0.11093349754810333
        top 76 is 34884=' Chad' with sim 0.1103840097784996
        top 77 is 39206=' Patricia' with sim 0.11030342429876328
        top 78 is 27238=' Eddie' with sim 0.10945651680231094
        top 79 is 25975=' Emma' with sim 0.10928692668676376
        top 80 is 281=' to' with sim 0.10915295779705048
        top 81 is 36779=' Sharon' with sim 0.10897833108901978
        top 82 is 6893=' Frank' with sim 0.1075328141450882
        top 83 is 3689=' Min' with sim 0.10732460767030716
