layer 46
    conv filter 1
      unnormalized sims:
        top 0 is 45='L' with sim 0.7244960069656372
        top 1 is 15='.' with sim 0.6719108819961548
        top 2 is 285=' and' with sim 0.662899374961853
        top 3 is 13=',' with sim 0.646344006061554
        top 4 is 281=' to' with sim 0.4784782826900482
        top 5 is 387=' at' with sim 0.4440951645374298
        top 6 is 247=' a' with sim 0.42608433961868286
        top 7 is 5769=' Sam' with sim 0.3847861886024475
        top 8 is 0='<|endoftext|>' with sim 0.34967824816703796
        top 9 is 253=' the' with sim 0.34162065386772156
        top 10 is 7903=' Max' with sim 0.30479446053504944
        top 11 is 2552=' May' with sim 0.27856987714767456
        top 12 is 3689=' Min' with sim 0.2486344277858734
        top 13 is 5484=' drink' with sim 0.22714939713478088
        top 14 is 6416=' Christian' with sim 0.2269585281610489
        top 15 is 8939=' Pet' with sim 0.22383058071136475
        top 16 is 12447=' Rose' with sim 0.22128044068813324
        top 17 is 8969=' Tim' with sim 0.19402416050434113
        top 18 is 3906=' office' with sim 0.18729755282402039
        top 19 is 6086=' George' with sim 0.18645942211151123
        top 20 is 10734=' Ray' with sim 0.17541122436523438
        top 21 is 574=' had' with sim 0.17430125176906586
        top 22 is 7758=' Florida' with sim 0.15494048595428467
        top 23 is 6393=' Mary' with sim 0.1490917056798935
        top 24 is 3978=' June' with sim 0.14094257354736328
        top 25 is 3534=' gave' with sim 0.1382828950881958
        top 26 is 24112=' Lucy' with sim 0.12919962406158447
        top 27 is 2143=' school' with sim 0.12798720598220825
        top 28 is 4162=' April' with sim 0.12363865971565247
        top 29 is 47756=' Dru' with sim 0.12066689878702164
        top 30 is 7948=' Tuesday' with sim 0.11192095279693604
        top 31 is 34884=' Chad' with sim 0.10593579709529877
        top 32 is 10049=' Van' with sim 0.10509178787469864
        top 33 is 12694=' Elizabeth' with sim 0.1004437506198883
        top 34 is 15784=' Row' with sim 0.09801223129034042
        top 35 is 16225=' Victoria' with sim 0.0949781984090805
        top 36 is 12096=' Georgia' with sim 0.08925512433052063
        top 37 is 22138=' Amy' with sim 0.08766432851552963
        top 38 is 35175=' Shannon' with sim 0.08081187307834625
        top 39 is 13268=' Jordan' with sim 0.08066572993993759
        top 40 is 3419=' Ag' with sim 0.08047798275947571
        top 41 is 22825=' Barry' with sim 0.07644422352313995
        top 42 is 6939=' Mil' with sim 0.07478365302085876
        top 43 is 794=' fun' with sim 0.07356788218021393
        top 44 is 14943=' Kelly' with sim 0.07299621403217316
        top 45 is 32577=' Sally' with sim 0.07161705195903778
        top 46 is 21088=' Marie' with sim 0.0692380964756012
        top 47 is 4675=' hospital' with sim 0.06821702420711517
        top 48 is 10497=' Asia' with sim 0.06543435901403427
        top 49 is 4382=' computer' with sim 0.06413459777832031
        top 50 is 17467=' Anne' with sim 0.06298033893108368
        top 51 is 19051=' Lane' with sim 0.05929587036371231
        top 52 is 27741=' Florence' with sim 0.058340273797512054
        top 53 is 25975=' Emma' with sim 0.05608333647251129
        top 54 is 16286=' Morgan' with sim 0.05600009113550186
        top 55 is 32817=' Lily' with sim 0.05422912910580635
        top 56 is 20344=' Fern' with sim 0.050700943917036057
        top 57 is 10648=' Sher' with sim 0.04787888750433922
        top 58 is 28518=' Hannah' with sim 0.046524859964847565
        top 59 is 8652=' Lee' with sim 0.045205604285001755
        top 60 is 33503=' snack' with sim 0.045188724994659424
        top 61 is 36220=' Eden' with sim 0.03854662925004959
        top 62 is 31231=' Claire' with sim 0.037450388073921204
        top 63 is 37921=' Molly' with sim 0.037387505173683167
        top 64 is 16700=' Dallas' with sim 0.03414967283606529
        top 65 is 22739=' Rachel' with sim 0.03391677141189575
        top 66 is 22463=' Robin' with sim 0.03377298265695572
        top 67 is 2263=' Cal' with sim 0.02444920316338539
        top 68 is 23961=' Kay' with sim 0.020630400627851486
        top 69 is 21521=' Ruby' with sim 0.01598847657442093
        top 70 is 25498=' Gay' with sim 0.013545557856559753
        top 71 is 48038=' Cory' with sim 0.010882321745157242
        top 72 is 16916=' Austin' with sim 0.005130898207426071
        top 73 is 29531=' Fan' with sim 0.00323525071144104
        top 74 is 34134=' Liv' with sim 0.0014541000127792358
        top 75 is 30680=' Meta' with sim 0.001156497746706009
        top 76 is 28084=' Pam' with sim 0.0008903341367840767
        top 77 is 16543=' Anna' with sim 6.202608346939087e-05
        top 78 is 6893=' Frank' with sim -0.0002803448587656021
        top 79 is 17363=' Eve' with sim -0.002690233290195465
        top 80 is 14861=' Tony' with sim -0.0030636899173259735
        top 81 is 25005=' Storm' with sim -0.0048108575865626335
        top 82 is 4657=' store' with sim -0.005964834243059158
        top 83 is 5818=' ring' with sim -0.0076451897621154785
        top 84 is 23801=' Honor' with sim -0.007951213046908379
        top 85 is 27477=' Easter' with sim -0.008735410869121552
        top 86 is 34876=' Sue' with sim -0.010513931512832642
        top 87 is 27145=' Tommy' with sim -0.012122595682740211
        top 88 is 39437=' Daisy' with sim -0.013311922550201416
        top 89 is 27773=' Blake' with sim -0.01543571799993515
        top 90 is 13089=' Jean' with sim -0.01975647360086441
        top 91 is 6039=' Cam' with sim -0.021644309163093567
        top 92 is 30140=' Miranda' with sim -0.02240004390478134
        top 93 is 21638=' Terry' with sim -0.022504348307847977
        top 94 is 10329=' garden' with sim -0.022887881845235825
        top 95 is 10301=' restaurant' with sim -0.02433261275291443
        top 96 is 23442=' Helen' with sim -0.02568282186985016
        top 97 is 2419=' house' with sim -0.026070713996887207
        top 98 is 42809=' Whitney' with sim -0.026360543444752693
        top 99 is 36965=' Diane' with sim -0.02958020567893982
        top 100 is 9385=' Virginia' with sim -0.029988139867782593
        top 101 is 29489=' Jessica' with sim -0.03272172436118126
        top 102 is 17361=' Sydney' with sim -0.03521721810102463
        top 103 is 25635=' Ruth' with sim -0.03611378371715546
